Geo Point;Geo Shape;PTCAR ID;TAF/TAP code;Symbolic name;Abbreviation BTS French short;Abbreviation BTS Dutch short;Abbreviation BTS French complete;Abbreviation BTS Dutch complete;Short name in French;Short name in Dutch;Middle name in French;Middle name in Dutch;Complete name in French;Complete name in Dutch;Classification NL;Classification EN;Classification FR
50.40862836585, 4.40359148015281;"{""coordinates"": [4.40359148015281, 50.40862836585], ""type"": ""Point""}";1561;BE01561;YLLS;Y.LA SAMBRE;Y.LA SAMBRE;Y.LA SAMBRE;Y.LA SAMBRE;Y.La Sambre;Y.La Sambre;Y.La Sambre;Y.La Sambre;Y.La Sambre;Y.La Sambre;Vertakking;Junction;Bifurcation
50.6699148465472, 5.367599886549959;"{""coordinates"": [5.367599886549959, 50.6699148465472], ""type"": ""Point""}";842;BE00842;MO;MOMALLE;MOMALLE;MOMALLE;MOMALLE;Momalle;Momalle;Momalle;Momalle;Momalle;Momalle;Stopplaats;Stop in open track;Point d'arrêt
50.89300415046401, 4.543312926825426;"{""coordinates"": [4.543312926825426, 50.89300415046401], ""type"": ""Point""}";648;BE00648;FTB;KORTENBERG;KORTENBERG;KORTENBERG;KORTENBERG;Kortenberg;Kortenberg;Kortenberg;Kortenberg;Kortenberg;Kortenberg;Stopplaats;Stop in open track;Point d'arrêt
50.316274429666755, 4.186533133296718;"{""coordinates"": [4.186533133296718, 50.316274429666755], ""type"": ""Point""}";664;BE00664;NLB;LABUISSIERE;LABUISSIERE;LABUISSIERE;LABUISSIERE;Labuissière;Labuissière;Labuissière;Labuissière;Labuissière;Labuissière;Stopplaats;Stop in open track;Point d'arrêt
50.38773555674349, 4.995789831137567;"{""coordinates"": [4.995789831137567, 50.38773555674349], ""type"": ""Point""}";287;BE00287;MRR;COURRIERE;COURRIERE;COURRIERE;COURRIERE;Courrière;Courrière;Courrière;Courrière;Courrière;Courrière;Stopplaats;Stop in open track;Point d'arrêt
50.74402497456338, 3.964956486506644;"{""coordinates"": [3.964956486506644, 50.74402497456338], ""type"": ""Point""}";432;BE00432;FGM;GALMAARDEN;GALMAARDEN;GALMAARDEN;GALMAARDEN;Gammerages;Galmaarden;Gammerages;Galmaarden;Gammerages;Galmaarden;Stopplaats;Stop in open track;Point d'arrêt
50.88344233385105, 4.506060556822931;"{""coordinates"": [4.506060556822931, 50.88344233385105], ""type"": ""Point""}";916;BE00916;LEM;NOSSEGEM;NOSSEGEM;NOSSEGEM;NOSSEGEM;Nossegem;Nossegem;Nossegem;Nossegem;Nossegem;Nossegem;Stopplaats;Stop in open track;Point d'arrêt
51.261690357038965, 4.427946720982024;"{""coordinates"": [4.427946720982024, 51.261690357038965], ""type"": ""Point""}";58;BE00058;AND;ANTW-N'DOK'N;ANTW-N'DOK'N;ANTWERPEN-NOORDERDOKKEN;ANTWERPEN-NOORDERDOKKEN;Anv-N'dokken;Antw-N'dok'n;Anvers-Noorderdokken;Antw-Noorderdokken;Anvers-Noorderdokken;Antwerpen-Noorderdokken;Stopplaats;Stop in open track;Point d'arrêt
50.73542702057838, 3.992881040231503;"{""coordinates"": [3.992881040231503, 50.73542702057838], ""type"": ""Point""}";1150;BE01150;LOK;TOLLEMBEEK;TOLLEMBEEK;TOLLEMBEEK;TOLLEMBEEK;Tollembeek;Tollembeek;Tollembeek;Tollembeek;Tollembeek;Tollembeek;Stopplaats;Stop in open track;Point d'arrêt
51.23174780746617, 4.426375562246658;"{""coordinates"": [4.426375562246658, 51.23174780746617], ""type"": ""Point""}";38;BE00038;FNDM;ANTW-DAM;ANTW-DAM;ANTWERPEN-DAM;ANTWERPEN-DAM;Anvers-Dam;Antw-Dam;Anvers-Dam;Antwerpen-Dam;Anvers-Dam;Antwerpen-Dam;Stopplaats;Stop in open track;Point d'arrêt
51.35805994162148, 4.634029490976993;"{""coordinates"": [4.634029490976993, 51.35805994162148], ""type"": ""Point""}";1839;BE01839;NDK;NOORD'KEMPEN;NOORD'KEMPEN;NOORDERKEMPEN;NOORDERKEMPEN;Noord'kempen;Noord'kempen;Noorderkempen;Noorderkempen;Noorderkempen;Noorderkempen;Station;Station;Gare
51.30409084748173, 4.311445589694537;"{""coordinates"": [4.311445589694537, 51.30409084748173], ""type"": ""Point""}";1675;BE01675;YLIBR;Y.LILLOBRUG;Y.LILLOBRUG;Y.LILLOBRUG;Y.LILLOBRUG;Y.Lillobrug;Y.Lillobrug;Y.Lillobrug;Y.Lillobrug;Y.Lillobrug;Y.Lillobrug;Vertakking;Junction;Bifurcation
51.29148661938982, 4.399788056399475;"{""coordinates"": [4.399788056399475, 51.29148661938982], ""type"": ""Point""}";181;BE00181;FNTA1;ANTW-N-TOEA1;ANTW-N-TOEA1;ANTWERPEN-NOORD-TOEGANG A1;ANTWERPEN-NOORD-TOEGANG A1;Antw-N-ToeA1;Antw-N-ToeA1;Antw-Nd-Toegang A1;Antw-Nd-Toegang A1;Antwerpen-Noord-Toegang A1;Antwerpen-Noord-Toegang A1;Rooster;Grid;Gril
50.765546698524275, 4.938202730926867;"{""coordinates"": [4.938202730926867, 50.765546698524275], ""type"": ""Point""}";571;BE00571;RHD;HOEGAARDEN;HOEGAARDEN;HOEGAARDEN;HOEGAARDEN;Hoegaarden;Hoegaarden;Hoegaarden;Hoegaarden;Hoegaarden;Hoegaarden;Rooster;Grid;Gril
50.75237081083094, 6.018173080005798;"{""coordinates"": [6.018173080005798, 50.75237081083094], ""type"": ""Point""}";859;BE00859;GMNFR;MONTZEN-FR;MONTZEN-FR;MONTZEN-FRONTIERE;MONTZEN-FRONTIERE;Montzen-Fr;Montzen-Fr;Montzen-Frontière;Montzen-Frontière;Montzen-Frontière;Montzen-Frontière;Netgrens;8;Frontière du réseau
51.0310697847662, 3.754409648447953;"{""coordinates"": [3.754409648447953, 51.0310697847662], ""type"": ""Point""}";1588;BE01588;YLBGN;Y.N.LEDEBERG;Y.N.LEDEBERG;Y.NOORD DRIEHOEK LEDEBERG;Y.NOORD DRIEHOEK LEDEBERG;Y.N.Ledeberg;Y.N.Ledeberg;Y.Noord Dr.Ledeberg;Y.Noord Dr.Ledeberg;Y.Noord Driehoek Ledeberg;Y.Noord Driehoek Ledeberg;Vertakking;Junction;Bifurcation
50.876610001831445, 5.67288999482089;"{""coordinates"": [5.67288999482089, 50.876610001831445], ""type"": ""Point""}";1297;BE01297;GLKGR;LANAKEN-GR;LANAKEN-GR;LANAKEN-GRENS;LANAKEN-GRENS;Lanaken-Gr;Lanaken-Gr;Lanaken-Grens;Lanaken-Grens;Lanaken-Grens;Lanaken-Grens;Netgrens;8;Frontière du réseau
51.28773372545384, 4.413532499033318;"{""coordinates"": [4.413532499033318, 51.28773372545384], ""type"": ""Point""}";1616;BE01616;YSCHN;Y.SCHIJN;Y.SCHIJN;Y.SCHIJN;Y.SCHIJN;Y.Schijn;Y.Schijn;Y.Schijn;Y.Schijn;Y.Schijn;Y.Schijn;Vertakking;Junction;Bifurcation
51.353621710206184, 4.279107184703806;"{""coordinates"": [4.279107184703806, 51.353621710206184], ""type"": ""Point""}";1257;BE01257;YFRDK;Y.FREDERIK;Y.FREDERIK;Y.FREDERIK;Y.FREDERIK;Y.Frederik;Y.Frederik;Y.Frederik;Y.Frederik;Y.Frederik;Y.Frederik;Vertakking;Junction;Bifurcation
50.496828765415096, 5.095965480077196;"{""coordinates"": [5.095965480077196, 50.496828765415096], ""type"": ""Point""}";25;BE00025;NDN;ANDENNE;ANDENNE;ANDENNE;ANDENNE;Andenne;Andenne;Andenne;Andenne;Andenne;Andenne;Station;Station;Gare
51.07391661820733, 2.669750487403637;"{""coordinates"": [2.669750487403637, 51.07391661820733], ""type"": ""Point""}";1181;BE01181;FVU;VEURNE;VEURNE;VEURNE;VEURNE;Furnes;Veurne;Furnes;Veurne;Furnes;Veurne;Station;Station;Gare
51.24610100168093, 5.541909994902332;"{""coordinates"": [5.541909994902332, 51.24610100168093], ""type"": ""Point""}";1368;BE01368;GHA;HAMONT;HAMONT;HAMONT;HAMONT;Hamont;Hamont;Hamont;Hamont;Hamont;Hamont;Station;Station;Gare
49.55165626366564, 5.825015825356029;"{""coordinates"": [5.825015825356029, 49.55165626366564], ""type"": ""Point""}";83;BE00083;AUFRL;AUBANGE-FR-L;AUBANGE-FR-L;AUBANGE-FRONTIERE-LUXEMBOURG;AUBANGE-FRONTIERE-LUXEMBOURG;Aubange-Fr-L;Aubange-Fr-L;Aubange-Front-Lux;Aubange-Front-Lux;Aubange-Frontière-Luxembourg;Aubange-Frontière-Luxembourg;Netgrens;8;Frontière du réseau
49.72742014932923, 5.53975533337961;"{""coordinates"": [5.53975533337961, 49.72742014932923], ""type"": ""Point""}";786;BE00786;LMH;MARBEHAN;MARBEHAN;MARBEHAN;MARBEHAN;Marbehan;Marbehan;Marbehan;Marbehan;Marbehan;Marbehan;Station;Station;Gare
50.19034554043201, 5.005903558228376;"{""coordinates"": [5.005903558228376, 50.19034554043201], ""type"": ""Point""}";589;BE00589;MHY;HOUYET;HOUYET;HOUYET;HOUYET;Houyet;Houyet;Houyet;Houyet;Houyet;Houyet;Station;Station;Gare
50.81768876585601, 5.176520546000151;"{""coordinates"": [5.176520546000151, 50.81768876585601], ""type"": ""Point""}";1090;BE01090;FST;SINT-TRUIDEN;SINT-TRUIDEN;SINT-TRUIDEN;SINT-TRUIDEN;Saint-Trond;Sint-Truiden;Saint-Trond;Sint-Truiden;Saint-Trond;Sint-Truiden;Station;Station;Gare
51.056728987048956, 3.740515250330524;"{""coordinates"": [3.740515250330524, 51.056728987048956], ""type"": ""Point""}";449;BE00449;FGDM;GENT-DAMP;GENT-DAMP;GENT-DAMPOORT;GENT-DAMPOORT;Gand-Damp;Gent-Damp;Gand-Dampoort;Gent-Dampoort;Gand-Dampoort;Gent-Dampoort;Station;Station;Gare
49.661259623355896, 5.608221352297815;"{""coordinates"": [5.608221352297815, 49.661259623355896], ""type"": ""Point""}";431;BE00431;GANT;GANTAUFET-ZG;GANTAUFET-ZG;GANTAUFET-ZONING;GANTAUFET-ZONING;Gantaufet-Zg;Gantaufet-Zg;Gantaufet-Zoning;Gantaufet-Zoning;Gantaufet-Zoning;Gantaufet-Zoning;Station;Station;Gare
50.49212088315084, 5.026460713868468;"{""coordinates"": [5.026460713868468, 50.49212088315084], ""type"": ""Point""}";1062;BE01062;NS;SCLAIGNEAUX;SCLAIGNEAUX;SCLAIGNEAUX;SCLAIGNEAUX;Sclaigneaux;Sclaigneaux;Sclaigneaux;Sclaigneaux;Sclaigneaux;Sclaigneaux;Station;Station;Gare
50.238013493316494, 4.905565624296302;"{""coordinates"": [4.905565624296302, 50.238013493316494], ""type"": ""Point""}";34;BE00034;MNS;ANSEREMME;ANSEREMME;ANSEREMME;ANSEREMME;Anseremme;Anseremme;Anseremme;Anseremme;Anseremme;Anseremme;Station;Station;Gare
50.88512215448079, 4.401352914778466;"{""coordinates"": [4.401352914778466, 50.88512215448079], ""type"": ""Point""}";1035;BE01035;FSRBV;SCHAERBEEK-V;SCHAARBEEK-V;SCHAERBEEK-FAISCEAU V;SCHAARBEEK-BUNDEL V;Schaerbeek-V;Schaarbeek-V;Schaerbeek-Faisc. V;Schaarbeek-Bundel V;Schaerbeek-Faisceau V;Schaarbeek-Bundel V;Station;Station;Gare
50.50601206060288, 4.384250449864734;"{""coordinates"": [4.384250449864734, 50.50601206060288], ""type"": ""Point""}";768;BE00768;FLU;LUTTRE;LUTTRE;LUTTRE;LUTTRE;Luttre;Luttre;Luttre;Luttre;Luttre;Luttre;Station;Station;Gare
50.90031066160642, 4.409729290022818;"{""coordinates"": [4.409729290022818, 50.90031066160642], ""type"": ""Point""}";1052;BE01052;FSRIR;Y.ENTR. GR.R;Y.INRIT GR.R;Y.ENTREE GROUPE R;Y.INRIT GROEP R;Y.Entr. Gr.R;Y.Inrit Gr.R;Y.Entrée Groupe R;Y.Inrit Groep R;Y.Entrée Groupe R;Y.Inrit Groep R;Vertakking;Junction;Bifurcation
50.997397834272064, 4.520261196113898;"{""coordinates"": [4.520261196113898, 50.997397834272064], ""type"": ""Point""}";1602;BE01602;YPRHK;Y.PRINSENH;Y.PRINSENH;Y.PRINSENHOEK;Y.PRINSENHOEK;Y.Prinsenh;Y.Prinsenh;Y.Prinsenhoek;Y.Prinsenhoek;Y.Prinsenhoek;Y.Prinsenhoek;Vertakking;Junction;Bifurcation
50.87579308485611, 4.125672905380013;"{""coordinates"": [4.125672905380013, 50.87579308485611], ""type"": ""Point""}";1620;BE01620;YSKL;Y.ST-K-LOMB;Y.ST-K-LOMB;Y.SINT-KATHERINA-LOMBEEK;Y.SINT-KATHERINA-LOMBEEK;Y.St-K-Lomb;Y.St-K-Lomb;Y.Sint-Kath-Lombeek;Y.Sint-Kath-Lombeek;Y.Sint-Katherina-Lombeek;Y.Sint-Katherina-Lombeek;Vertakking;Junction;Bifurcation
51.0687868504033, 4.495848142913284;"{""coordinates"": [4.495848142913284, 51.0687868504033], ""type"": ""Point""}";1621;BE01621;YSKLW;Y.ST-K-WAVER;Y.ST-K-WAVER;Y.SINT-KATELIJNE-WAVER;Y.SINT-KATELIJNE-WAVER;Y.St-K-Waver;Y.St-K-Waver;Y.Sint-Katel-Waver;Y.Sint-Katel-Waver;Y.Sint-Katelijne-Waver;Y.Sint-Katelijne-Waver;Vertakking;Junction;Bifurcation
50.58420338482292, 4.106341123670671;"{""coordinates"": [4.106341123670671, 50.58420338482292], ""type"": ""Point""}";1623;BE01623;YFSG;Y.SOIGNIES;Y.SOIGNIES;Y.SOIGNIES;Y.SOIGNIES;Y.Soignies;Y.Soignies;Y.Soignies;Y.Soignies;Y.Soignies;Y.Soignies;Vertakking;Junction;Bifurcation
50.7469042687301, 5.816499303813718;"{""coordinates"": [5.816499303813718, 50.7469042687301], ""type"": ""Point""}";242;BE00242;GFM;FOURON-ST-MA;ST-MA-VOEREN;FOURON-SAINT-MARTIN;SINT-MARTENS-VOEREN;Fouron-St-Ma;St-Ma-Voeren;Fouron-St-Martin;St-Mart-Voeren;Fouron-Saint-Martin;Sint-Martens-Voeren;Rooster;Grid;Gril
51.29887398851725, 4.364204991130035;"{""coordinates"": [4.364204991130035, 51.29887398851725], ""type"": ""Point""}";52;BE00052;FNDM9;ANTW-ND-M9N9;ANTW-ND-M9N9;ANTWERPEN-NOORD-BLOK M9-N9;ANTWERPEN-NOORD-BLOK M9-N9;Antw-Nd-M9N9;Antw-Nd-M9N9;Antw-Nd-Blok M9-N9;Antw-Nd-Blok M9-N9;Antwerpen-Noord-Blok M9-N9;Antwerpen-Noord-Blok M9-N9;Rooster;Grid;Gril
51.294747995152086, 4.384829347010283;"{""coordinates"": [4.384829347010283, 51.294747995152086], ""type"": ""Point""}";53;BE00053;FNDL9;ANTW-ND-B.L9;ANTW-ND-B.L9;ANTWERPEN-NOORD-BLOK L9;ANTWERPEN-NOORD-BLOK L9;Antw-Nd-B.L9;Antw-Nd-B.L9;Antw-Nd-Blok L9;Antw-Nd-Blok L9;Antwerpen-Noord-Blok L9;Antwerpen-Noord-Blok L9;Rooster;Grid;Gril
51.27427456915654, 3.211136346040339;"{""coordinates"": [3.211136346040339, 51.27427456915654], ""type"": ""Point""}";846;BE00846;YBDWK;Y.BOUDEWIJNK;Y.BOUDEWIJNK;Y.BOUDEWIJNKANAAL;Y.BOUDEWIJNKANAAL;Y.Boudewijnk;Y.Boudewijnk;Y.Boudewijnkanaal;Y.Boudewijnkanaal;Y.Boudewijnkanaal;Y.Boudewijnkanaal;Vertakking;Junction;Bifurcation
50.817061163608805, 4.403018194729282;"{""coordinates"": [4.403018194729282, 50.817061163608805], ""type"": ""Point""}";1530;BE01530;YMTB;Y.ETTERBEEK;Y.ETTERBEEK;Y.ETTERBEEK;Y.ETTERBEEK;Y.Etterbeek;Y.Etterbeek;Y.Etterbeek;Y.Etterbeek;Y.Etterbeek;Y.Etterbeek;Vertakking;Junction;Bifurcation
50.61923888076139, 5.586082857305401;"{""coordinates"": [5.586082857305401, 50.61923888076139], ""type"": ""Point""}";1539;BE01539;YGADI;Y.GARDE-DIEU;Y.GARDE-DIEU;Y.GARDE-DIEU;Y.GARDE-DIEU;Y.Garde-Dieu;Y.Garde-Dieu;Y.Garde-Dieu;Y.Garde-Dieu;Y.Garde-Dieu;Y.Garde-Dieu;Vertakking;Junction;Bifurcation
50.59952148910764, 5.466976327249911;"{""coordinates"": [5.466976327249911, 50.59952148910764], ""type"": ""Point""}";1540;BE01540;YLMAN;Y.LEMAN;Y.LEMAN;Y.LEMAN;Y.LEMAN;Y.Leman;Y.Leman;Y.Leman;Y.Leman;Y.Leman;Y.Leman;Vertakking;Junction;Bifurcation
50.88210358116009, 4.39178569362497;"{""coordinates"": [4.39178569362497, 50.88210358116009], ""type"": ""Point""}";1541;BE01541;FSRRN;SCHAERBEEK-N;SCHAARBEEK-N;SCHAERBEEK-GRIL N;SCHAARBEEK-ROOSTER N;Schaerbeek-N;Schaarbeek-N;Schaerbeek-Gril N;Schaarbeek-Rooster N;Schaerbeek-Gril N;Schaarbeek-Rooster N;Rooster;Grid;Gril
50.75479120326342, 5.528501510849839;"{""coordinates"": [5.528501510849839, 50.75479120326342], ""type"": ""Point""}";1542;BE01542;YLGL;Y.GLONS;Y.GLONS;Y.GLONS;Y.GLONS;Y.Glons;Y.Glons;Y.Glons;Y.Glons;Y.Glons;Y.Glons;Vertakking;Junction;Bifurcation
51.228281133071484, 4.433743354247206;"{""coordinates"": [4.433743354247206, 51.228281133071484], ""type"": ""Point""}";1547;BE01547;YHLND;Y.HOLLAND;Y.HOLLAND;Y.HOLLAND;Y.HOLLAND;Y.Holland;Y.Holland;Y.Holland;Y.Holland;Y.Holland;Y.Holland;Vertakking;Junction;Bifurcation
51.209908529653774, 4.276733531427586;"{""coordinates"": [4.276733531427586, 51.209908529653774], ""type"": ""Point""}";43;BE00043;RML;MELSELE-O/Q;MELSELE-O/Q;MELSELE-ROOSTER O/Q;MELSELE-ROOSTER O/Q;Melsele-O/Q;Melsele-O/Q;Melsele-Rooster O/Q;Melsele-Rooster O/Q;Melsele-Rooster O/Q;Melsele-Rooster O/Q;Rooster;Grid;Gril
50.61306258271737, 5.492437589718984;"{""coordinates"": [5.492437589718984, 50.61306258271737], ""type"": ""Point""}";1323;BE01323;RLFHC;R.COCKER.3-4;R.COCKER.3-4;RACC.FLEMALLE-COCKERILL 3-4;RACC.FLEMALLE-COCKERILL 3-4;R.Cocker.3-4;R.Cocker.3-4;Racc.Cockerill 3-4;Racc.Cockerill 3-4;Racc.Flémalle-Cockerill 3-4;Racc.Flémalle-Cockerill 3-4;Verbinding;Connection;Raccordement
50.62818626132375, 5.563380722942467;"{""coordinates"": [5.563380722942467, 50.62818626132375], ""type"": ""Point""}";1343;BE01343;GFLPL;LIEGE-PLANS;LIEGE-PLANS;LIEGE-PLANS;LIEGE-PLANS;Liège-Plans;Liège-Plans;Liège-Plans;Liège-Plans;Liège-Plans;Liège-Plans;Rooster;Grid;Gril
50.539221727262344, 3.913725839469875;"{""coordinates"": [3.913725839469875, 50.539221727262344], ""type"": ""Point""}";1563;BE01563;YFNE;Y.LENS;Y.LENS;Y.LENS;Y.LENS;Y.Lens;Y.Lens;Y.Lens;Y.Lens;Y.Lens;Y.Lens;Vertakking;Junction;Bifurcation
51.28476922991983, 3.230832077753078;"{""coordinates"": [3.230832077753078, 51.28476922991983], ""type"": ""Point""}";1564;BE01564;YPEL;Y.PELIKAAN;Y.PELIKAAN;Y.PELIKAAN;Y.PELIKAAN;Y.Pelikaan;Y.Pelikaan;Y.Pelikaan;Y.Pelikaan;Y.Pelikaan;Y.Pelikaan;Vertakking;Junction;Bifurcation
50.95853750253366, 5.338176851558512;"{""coordinates"": [5.338176851558512, 50.95853750253366], ""type"": ""Point""}";1286;BE01286;LZHPU;ZONHOVEN-P/U;ZONHOVEN-P/U;ZONHOVEN-ROOSTER P/U;ZONHOVEN-ROOSTER P/U;Zonhoven-P/U;Zonhoven-P/U;Zonhoven-Rooster P/U;Zonhoven-Rooster P/U;Zonhoven-Rooster P/U;Zonhoven-Rooster P/U;Rooster;Grid;Gril
51.26328056234856, 4.383234487993154;"{""coordinates"": [4.383234487993154, 51.26328056234856], ""type"": ""Point""}";1976;BE01976;YWMBR;Y.WILMA'BRUG;Y.WILMA'BRUG;Y.WILMARSDONKBRUG;Y.WILMARSDONKBRUG;Y.Wilma'brug;Y.Wilma'brug;Y.Wilmarsdonkbrug;Y.Wilmarsdonkbrug;Y.Wilmarsdonkbrug;Y.Wilmarsdonkbrug;Vertakking;Junction;Bifurcation
51.28454095006955, 3.196967043934103;"{""coordinates"": [3.196967043934103, 51.28454095006955], ""type"": ""Point""}";1398;BE01398;YTDST;Y.TER DOEST;Y.TER DOEST;Y.TER DOEST;Y.TER DOEST;Y.Ter Doest;Y.Ter Doest;Y.Ter Doest;Y.Ter Doest;Y.Ter Doest;Y.Ter Doest;Vertakking;Junction;Bifurcation
51.25217701397646, 4.213616258773913;"{""coordinates"": [4.213616258773913, 51.25217701397646], ""type"": ""Point""}";1428;BE01428;YHAZP;Y.HAZOP;Y.HAZOP;Y.HAZOP;Y.HAZOP;Y.Hazop;Y.Hazop;Y.Hazop;Y.Hazop;Y.Hazop;Y.Hazop;Vertakking;Junction;Bifurcation
50.065016089097476, 4.967196337293416;"{""coordinates"": [4.967196337293416, 50.065016089097476], ""type"": ""Point""}";1200;BE01200;MVO;VONECHE;VONECHE;VONECHE;VONECHE;Vonêche;Vonêche;Vonêche;Vonêche;Vonêche;Vonêche;Rooster;Grid;Gril
51.017556178631686, 3.769073560785015;"{""coordinates"": [3.769073560785015, 51.017556178631686], ""type"": ""Point""}";163;BE00163;RFKRS;MERELBEKE-S;MERELBEKE-S;MERELBEKE-ROOSTER S;MERELBEKE-ROOSTER S;Merelbeke-S;Merelbeke-S;Merelbeke-Rooster S;Merelbeke-Rooster S;Merelbeke-Rooster S;Merelbeke-Rooster S;Rooster;Grid;Gril
50.96502649202759, 5.475543238322813;"{""coordinates"": [5.475543238322813, 50.96502649202759], ""type"": ""Point""}";1581;BE01581;YNWDK;Y.NIEUWDAK;Y.NIEUWDAK;Y.NIEUWDAK;Y.NIEUWDAK;Y.Nieuwdak;Y.Nieuwdak;Y.Nieuwdak;Y.Nieuwdak;Y.Nieuwdak;Y.Nieuwdak;Vertakking;Junction;Bifurcation
51.267974063016446, 4.383114531193276;"{""coordinates"": [4.383114531193276, 51.267974063016446], ""type"": ""Point""}";1585;BE01585;YNDRL;Y.NOORDERL;Y.NOORDERL;Y.NOORDERLAAN;Y.NOORDERLAAN;Y.Noorderl;Y.Noorderl;Y.Noorderlaan;Y.Noorderlaan;Y.Noorderlaan;Y.Noorderlaan;Vertakking;Junction;Bifurcation
51.29178681266868, 4.36141190145973;"{""coordinates"": [4.36141190145973, 51.29178681266868], ""type"": ""Point""}";1590;BE01590;YORDR;Y.OORDEREN;Y.OORDEREN;Y.OORDEREN;Y.OORDEREN;Y.Oorderen;Y.Oorderen;Y.Oorderen;Y.Oorderen;Y.Oorderen;Y.Oorderen;Vertakking;Junction;Bifurcation
51.29015007117102, 4.377213853544278;"{""coordinates"": [4.377213853544278, 51.29015007117102], ""type"": ""Point""}";1594;BE01594;YMUBR;Y.MUISBROEK;Y.MUISBROEK;Y.MUISBROEK;Y.MUISBROEK;Y.Muisbroek;Y.Muisbroek;Y.Muisbroek;Y.Muisbroek;Y.Muisbroek;Y.Muisbroek;Vertakking;Junction;Bifurcation
50.55335552140771, 3.48379411316409;"{""coordinates"": [3.48379411316409, 50.55335552140771], ""type"": ""Point""}";1595;BE01595;YMAUB;Y.MAUBRAY;Y.MAUBRAY;Y.MAUBRAY;Y.MAUBRAY;Y.Maubray;Y.Maubray;Y.Maubray;Y.Maubray;Y.Maubray;Y.Maubray;Vertakking;Junction;Bifurcation
51.05423501791443, 4.494132764561805;"{""coordinates"": [4.494132764561805, 51.05423501791443], ""type"": ""Point""}";1598;BE01598;YOTBK;Y.OTTERBEEK;Y.OTTERBEEK;Y.OTTERBEEK;Y.OTTERBEEK;Y.Otterbeek;Y.Otterbeek;Y.Otterbeek;Y.Otterbeek;Y.Otterbeek;Y.Otterbeek;Vertakking;Junction;Bifurcation
50.4074707750296, 4.516345007497652;"{""coordinates"": [4.516345007497652, 50.4074707750296], ""type"": ""Point""}";2006;BE02006;FCLGO;CHATELET-O;CHATELET-O;CHATELET-GRIL OUEST;CHATELET-GRIL OUEST;Châtelet-O;Châtelet-O;Châtelet-Gril Ouest;Châtelet-Gril Ouest;Châtelet-Gril Ouest;Châtelet-Gril Ouest;Rooster;Grid;Gril
50.41490172180657, 4.526329948428573;"{""coordinates"": [4.526329948428573, 50.41490172180657], ""type"": ""Point""}";2007;BE02007;FCLGE;CHATELET-E;CHATELET-E;CHATELET-GRIL EST;CHATELET-GRIL EST;Châtelet-E;Châtelet-E;Châtelet-Gril Est;Châtelet-Gril Est;Châtelet-Gril Est;Châtelet-Gril Est;Rooster;Grid;Gril
51.1357706815875, 4.55874876172302;"{""coordinates"": [4.55874876172302, 51.1357706815875], ""type"": ""Point""}";765;BE00765;FLRCG;LIER-C/G;LIER-C/G;LIER-ROOSTER C/G;LIER-ROOSTER C/G;Lier-C/G;Lier-C/G;Lier-Rooster C/G;Lier-Rooster C/G;Lier-Rooster C/G;Lier-Rooster C/G;Rooster;Grid;Gril
51.2645777957838, 4.42905873736288;"{""coordinates"": [4.42905873736288, 51.2645777957838], ""type"": ""Point""}";766;BE00766;RLBS;LUCHTBAL-S;LUCHTBAL-S;LUCHTBAL-ROOSTER S;LUCHTBAL-ROOSTER S;Luchtbal-S;Luchtbal-S;Luchtbal-Rooster S;Luchtbal-Rooster S;Luchtbal-Rooster S;Luchtbal-Rooster S;Rooster;Grid;Gril
51.241372576974925, 5.243277276308452;"{""coordinates"": [5.243277276308452, 51.241372576974925], ""type"": ""Point""}";773;BE00773;VSIBE;V.SIBELCO;V.SIBELCO;VERB.SIBELCO;VERB.SIBELCO;V.Sibelco;V.Sibelco;Verb.Sibelco;Verb.Sibelco;Verb.Sibelco;Verb.Sibelco;Verbinding;Connection;Raccordement
50.60604051198097, 5.572653811164143;"{""coordinates"": [5.572653811164143, 50.60604051198097], ""type"": ""Point""}";2021;BE02021;NKGRF;KINKEMP-GR.F;KINKEMP-GR.F;KINKEMPOIS-GRIL F;KINKEMPOIS-GRIL F;Kinkemp-Gr.F;Kinkemp-Gr.F;Kinkempois-Gril F;Kinkempois-Gril F;Kinkempois-Gril F;Kinkempois-Gril F;Rooster;Grid;Gril
51.311559612344425, 3.189961042715953;"{""coordinates"": [3.189961042715953, 51.311559612344425], ""type"": ""Point""}";2025;BE02025;RLZRG;ZEEBRUGGE-G;ZEEBRUGGE-G;ZEEBRUGGE-ROOSTER G;ZEEBRUGGE-ROOSTER G;Zeebrugge-G;Zeebrugge-G;Zeebrugge-Rooster G;Zeebrugge-Rooster G;Zeebrugge-Rooster G;Zeebrugge-Rooster G;Rooster;Grid;Gril
51.32114496640201, 3.187651099959672;"{""coordinates"": [3.187651099959672, 51.32114496640201], ""type"": ""Point""}";2026;BE02026;RLZRH;ZEEBRUGGE-H;ZEEBRUGGE-H;ZEEBRUGGE-ROOSTER H;ZEEBRUGGE-ROOSTER H;Zeebrugge-H;Zeebrugge-H;Zeebrugge-Rooster H;Zeebrugge-Rooster H;Zeebrugge-Rooster H;Zeebrugge-Rooster H;Rooster;Grid;Gril
